Sector,CompanyName,LinkedinCompanyName,InsightsLink
Healthcare,Walgreens,walgreens,https://www.linkedin.com/company/walgreens/insights/
Healthcare,Pfizer,pfizer,https://www.linkedin.com/company/pfizer/insights/
Healthcare,Regeneron,regeneron-pharmaceuticals,https://www.linkedin.com/company/regeneron-pharmaceuticals/insights/
Linkedin Top 10,Amazon,amazon,http://www.linkedin.com/company/amazon/insights/
Linkedin Top 10,Alphabet,alphabet,http://www.linkedin.com/company/alphabet-inc/insights/
Linkedin Top 10,JPMorgan Chase & Co.,jpmorganchase,http://www.linkedin.com/company/jpmorganchase/insights/
Linkedin Top 10,AT&T,att,http://www.linkedin.com/company/att/insights/
Linkedin Top 10,Bank of America,bank-of-america,http://www.linkedin.com/company/bank-of-america/insights/
Linkedin Top 10,IBM,ibm,http://www.linkedin.com/company/ibm/insights/
Linkedin Top 10,Deloitte,deloite,http://www.linkedin.com/company/deloitte/insights/
Linkedin Top 10,Apple,apple,http://www.linkedin.com/company/apple/insights/
Linkedin Top 10,Walmart,walmart,http://www.linkedin.com/company/walmart/insights/
Linkedin Top 10,EY,ernstandyoung,http://www.linkedin.com/company/ernstandyoung/insights/
Linkedin Top 20,UnitedHealth Group,unitedhealth-group,http://www.linkedin.com/company/unitedhealth-group/insights/
Linkedin Top 20,Accenture,accenture,http://www.linkedin.com/company/accenture/insights/
Linkedin Top 20,Dell Technologies,delltechnologies,http://www.linkedin.com/company/delltechnologies/insights/
Linkedin Top 20,Verizon,verizon,http://www.linkedin.com/company/verizon/insights/
Linkedin Top 20,CVS Health,cvs-health,http://www.linkedin.com/company/cvs-health/insights/
Linkedin Top 20,Raytheon Technologies,raytheontechnologies,http://www.linkedin.com/company/raytheontechnologies/insights/
Linkedin Top 20,PwC,pwc,http://www.linkedin.com/company/pwc/insights/
Linkedin Top 20,Comcast,comcast,http://www.linkedin.com/company/comcast/insights/
Linkedin Top 20,Facebook,facebook,http://www.linkedin.com/company/facebook/insights/
Linkedin Top 20,Keller Williams,keller-williams-realty-inc,http://www.linkedin.com/company/keller-williams-realty-inc/insights/
Linkedin Top 30,Oracle,oracle,http://www.linkedin.com/company/oracle/insights/
Linkedin Top 30,Cisco,cisco,http://www.linkedin.com/company/cisco/insights/
Linkedin Top 30,Kaiser Permanente,kaiser-permanente,http://www.linkedin.com/company/kaiser-permanente/insights/
Linkedin Top 30,Lockheed Martin,lockheed-martin,http://www.linkedin.com/company/lockheed-martin/insights/
Linkedin Top 30,Intel,intel-corporation,http://www.linkedin.com/company/intel-corporation/insights/
Linkedin Top 30,KPMG,kpmg-us,http://www.linkedin.com/company/kpmg-us/insights/
Linkedin Top 30,T-Mobile,t-mobile,http://www.linkedin.com/company/t-mobile/insights/
Linkedin Top 30,Target,target,http://www.linkedin.com/company/target/insights/
Linkedin Top 30,Citi,citi,http://www.linkedin.com/company/citi/insights/
Linkedin Top 30,Johnson & Johnson,johnson-&-johnson,http://www.linkedin.com/company/johnson-&-johnson/insights/
Linkedin Top 40,Realogy,realogy,http://www.linkedin.com/company/realogy/insights/
Linkedin Top 40,Northrop Grumman,northrop-grumman-corporation,http://www.linkedin.com/company/northrop-grumman-corporation/insights/
Linkedin Top 40,Cognizant,cognizant,http://www.linkedin.com/company/cognizant/insights/
Linkedin Top 40,HCA Healthcare,hca,http://www.linkedin.com/company/hca/insights/
Linkedin Top 40,Siemens,siemens,http://www.linkedin.com/company/siemens/insights/
Linkedin Top 40,Salesforce,salesforce,http://www.linkedin.com/company/salesforce/insights/
Linkedin Top 40,General Motors,general-motors,http://www.linkedin.com/company/general-motors/insights/
Linkedin Top 40,U.S. Bank,us-bank,http://www.linkedin.com/company/us-bank/insights/
Linkedin Top 40,Capital One,capital-one,http://www.linkedin.com/company/capital-one/insights/
Linkedin Top 40,State Farm,state_farm,http://www.linkedin.com/company/state_farm/insights/
Linkedin Top 50,Morgan Stanley,morgan-stanley,http://www.linkedin.com/company/morgan-stanley/insights/
Linkedin Top 50,FedEx,fedex,http://www.linkedin.com/company/fedex/insights/
Linkedin Top 50,Medtronic,medtronic,http://www.linkedin.com/company/medtronic/insights/
Linkedin Top 50,Ford Motor Company,ford-motor-company,http://www.linkedin.com/company/ford-motor-company/insights/
Linkedin Top 50,UPS,ups,http://www.linkedin.com/company/ups/insights/
Linkedin Top 50,Whiting-Turner,the-whiting-turner-contracting-company,http://www.linkedin.com/company/the-whiting-turner-contracting-company/insights/
Linkedin Top 50,Kimley-Horn,kimley-horn,http://www.linkedin.com/company/kimley-horn/insights/
Linkedin Top 50,The Home Depot,the-home-depot,http://www.linkedin.com/company/the-home-depot/insights/
Linkedin Top 50,Fidelity Investments,fidelity-investments,http://www.linkedin.com/company/fidelity-investments/insights/
Linkedin Top 50,SAP,sap,http://www.linkedin.com/company/sap/insights/
